qid,question,context,gold_answer,pattern_tag
ADV_01,Who reported the suspect was last seen near the airport?,Detective Morgan reported the suspect was last seen near the airport. Officer Hayes confirmed the suspect had previously been spotted downtown.,Detective Morgan,same-type-distractor
ADV_02,Who confirmed the suspect had been spotted downtown?,Detective Morgan reported the suspect was last seen near the airport. Officer Hayes confirmed the suspect had previously been spotted downtown.,Officer Hayes,same-type-distractor
ADV_03,Who announced the company would cut 3000 jobs?,CEO Patricia Lawson announced the company would cut 3000 jobs following poor quarterly results. CFO David Chen said the losses were manageable and recovery was expected by next year.,Patricia Lawson,same-type-distractor
ADV_04,Who said the losses were manageable?,CEO Patricia Lawson announced the company would cut 3000 jobs following poor quarterly results. CFO David Chen said the losses were manageable and recovery was expected by next year.,David Chen,same-type-distractor
ADV_05,Who warned that the bridge was unsafe?,City Engineer Sandra Mills warned that the bridge was unsafe and required immediate repairs. Mayor Tom Briggs insisted the structure had passed all recent inspections.,Sandra Mills,same-type-distractor
ADV_06,Who insisted the bridge had passed inspections?,City Engineer Sandra Mills warned that the bridge was unsafe and required immediate repairs. Mayor Tom Briggs insisted the structure had passed all recent inspections.,Tom Briggs,same-type-distractor
ADV_07,Who filed the lawsuit against the pharmaceutical company?,Patient advocate Laura Jensen filed the lawsuit against the pharmaceutical company on behalf of affected families. Defense attorney Mark Holloway argued the claims lacked sufficient evidence.,Laura Jensen,same-type-distractor
ADV_08,Who argued the claims lacked evidence?,Patient advocate Laura Jensen filed the lawsuit against the pharmaceutical company on behalf of affected families. Defense attorney Mark Holloway argued the claims lacked sufficient evidence.,Mark Holloway,same-type-distractor
ADV_09,Who discovered the security vulnerability in the banking software?,Security researcher Amir Hasan discovered the security vulnerability in the banking software used by millions of customers. Company spokesperson Rachel Ford denied that any customer data had been compromised.,Amir Hasan,same-type-distractor
ADV_10,Who denied that customer data had been compromised?,Security researcher Amir Hasan discovered the security vulnerability in the banking software used by millions of customers. Company spokesperson Rachel Ford denied that any customer data had been compromised.,Rachel Ford,same-type-distractor
ADV_11,Who testified that the defendant was at the scene?,Eyewitness Carol Simmons testified that the defendant was at the scene at the time of the incident. Defense witness Brian Cho claimed the defendant was at a restaurant several miles away.,Carol Simmons,same-type-distractor
ADV_12,Who claimed the defendant was at a restaurant?,Eyewitness Carol Simmons testified that the defendant was at the scene at the time of the incident. Defense witness Brian Cho claimed the defendant was at a restaurant several miles away.,Brian Cho,same-type-distractor
